Ref.,ID,Title,First Author,Paper Year,Abstract,Name,Questions,Goal,Topic,Category,Task,Target,Audience,Representation,Medium,# Pages,Available,Java?,"PlataformWindows",Linux,Mac,Web,License,Source available,Framework,Target Technology,Venue
S34,131,Zinsight: a visual and analytic environment for exploring large event traces,"de Pauw, W.",2010,"Information in event traces from software systems can help developers with performance analysis, debugging and troubleshooting. However, the volume of data contained in these traces can make such tasks a challenge. In this paper we propose a new tool, Zinsight, to visualize event traces from complex systems. Our contribution is a novel combination of visualizations and pattern extraction techniques, enabling user exploration, analysis and understanding of traces containing millions of events. Three complimentary views help the user answer different questions. First, the Event Flow view shows the trace in its entirety or in detail. The user sees visual patterns representing phases of processing and the relative order of events. Second, the Event Statistics view quantifies events, and presents distributions and averages enabling the user to identify outlier behavior. Third, the Sequence Context view extracts patterns of interest from the trace and represents them along with frequency and performance data in succinct execution flow diagrams. The user can navigate from patterns to their constituent instance sequences and even back to individual events in the other views. Questions can be answered and hypotheses tested using the most natural view for the task.",Zinsight,how did we get to these events?,,"CH, EL","Debugging, Performance",Debugging,Runtime,performance analyst,Dense Pixel,Not identified,10,http://researcher.watson.ibm.com/researcher/view_group.php?id=613,,,,,,Comm,N,-,IBM System z,SOFTVIS
S35,136,Representing development history in software cities,"Steinbrückner, F.",2010,In this paper we describe a systematic approach to utilize the city metaphor for the visualization of large software systems as evolving software cities. The main contribution is a new layout approach which explicitly takes the development history of software systems into account and makes history directly visible in the layouts. These layouts incrementally evolve in a very smooth and stable way during the development of the represented software system. They are used as a visualization platform for integrating a large variety of product and process data and thus create a coherent set of specialized visualizations. To illustrate this we present some example maps capturing specific development history aspects.,CrocoCosmos,what is the history of a piece of code?,,Elements,History,Reverse Engineering,CVS,"project manager, developer",Stacked,Not identified,10,,,,,,,-,-,jMonkeyEngine,Java,SOFTVIS
S36,242,Case study: Visual analytics in software product assessments,"Telea, A.",2009,"We present how a combination of static source code analysis, repository analysis, and visualization techniques has been used to effec- tively get and communicate insight in the development and project management problems of a large industrial code base. This study is an example of how visual analytics can be effectively applied to answer maintenance questions and support decision making in the software industry. We comment on the relevant findings during the study both in terms of used technique and applied methodology and outline the favorable factors that were essential in making this type of assessment successful within tight time and budget constraints.",-,why it was hard to add new features to the existing software?,,ND,ND,Software Process Management,CVS,"project managers, system architects","Dense Pixel, Stacked, Geometrically-Transformed",Not identified,8,,,,,,,-,-,-,Keil C166,VISSOFT
S37,89,Representing unit test data for large scale software development,"Cottam, J.A.",2008,"Large scale software projects rely on routine, automated testing to gauge progress towards its goals. The diversity and quantity of these tests grow as time and project scope increase. This is as a consequence of both experience and expanding audience. It be- comes increasingly difficult to interpret testing results as the testing suites multiply and diversify. If interpretation becomes too diffi- cult, testings results could become ignored all together. Visualization has proven to be an effective tool to aid the interpretation of large amounts of data. We have adapted visualization techniques based on small multiples to communicate the health of the soft- ware project across several levels of abstraction. The collective set of techniques we refer to as the SeeTest visualization schema. We applied this visualization technique to the Open MPI test results in order to assist developers in the software release cycle. Through the visualizations, developers found a variety of surprising mismatches between their data and their intuitions. This exploration did not involve collecting any data not already being collected, merely pre- senting it in manner that better supported their needs. In this paper, we detail the development of the representation we used and give more particular analysis of the insights gained by the Open MPI community. The techniques presented in this paper can be applied to other software projects.",SeeTest,how did the changes from yesterday effect the stability of the project?,,Changes,History,Testing,CVS,developer,"Geometrically-Transformed, Iconic",Not identified,10,,,,,,,-,-,Stencil visualization environment,-,SOFTVIS
S38,91,A catalogue of lightweight visualizations to support code smell inspection,"Parnin, C.",2008,"Preserving the integrity of software systems is essential in ensur- ing future product success. Commonly, companies allocate only a limited budget toward perfective maintenance and instead pres- sure developers to focus on implementing new features. Traditional techniques, such as code inspection, consume many staff resources and attention from developers. Metrics automate the process of checking for problems but produce voluminous, imprecise, and in- congruent results. An opportunity exists for visualization to assist where automated measures have failed; however, current software visualization techniques only handle the voluminous aspect of data but fail to address imprecise and incongruent aspects. In this paper, we describe several techniques for visualizing possible defects reported by automated inspection tools. We propose a catalogue of lightweight visualizations that assist reviewers in weeding out false positives. We implemented the visualizations in a tool called NOSEPRINTS and present a case study on several commercial sys- tems and open source applications in which we examined the im- pact of our tool on the inspection process.",NosePrints,where the value was originating from?,,Changes,Testing,Maintenance,Runtime,"project manager, developer",Dense Pixel,"1268 by 1048 resolution display, Wall Display, projection screen",10,,,,,,,-,-,-,-,SOFTVIS
S39,97,Streamsight: a visualization tool for large-scale streaming applications,"de Pauw, W.",2008,"Stream processing is becoming a new and important computing paradigm. Innovative streaming applications are being developed in areas ranging from scientific applications (e.g., environment monitoring), to business intelligence (e.g., fraud detection and trend analysis), to financial markets (e.g., algorithmic trading strategies). Developing, understanding, debugging, and optimizing streaming applications is non-trivial because of the adaptive and dynamic nature of these applications. The sheer complexity and the distributed character of a large number of cooperating components hosted on a distributed environment further complicate matters. In this paper we describe Streamsight, a new visualization tool built to examine, monitor, and help understand the dynamic behavior of streaming applications. Previously developed stream processing visualization tools focus solely on composition of dataflow graphs. Streamsight’s novelty hinges on a wide range of capabilities, including the ability to manage the dynamics of large and evolving topologies comprising multiple streaming applications with thousands of nodes and inter- connections. From rendering live performance counters using different perspectives to allowing recordings and replays of the execution process, Streamsight provides the mechanisms that permit a better understanding of the evolving and adaptive behavior of streaming applications. These capabilities are used for debugging purposes, for performance optimization, and management of resources, including capacity planning. More than 50 developers, both inside and outside IBM, have been using Streamsight.",Streamsight,what kind of hardware interconnect link technology to employ?,,TE,TE,Testing,Runtime,developer,Standard,Not identified,10,,,,,,,-,-,dot,IBM System S,SOFTVIS
S40,101,Stacked-widget visualization of scheduling-based algorithms,"Bernardin, T.",2008,"We present a visualization system to assist designers of scheduling- based multi-threaded out-of-core algorithms. Our system facilitates the understanding and improving of the algorithm through a stack of visual widgets that effectively correlate the out-of-core system state with scheduling decisions. The stack presents an increasing refinement in the scope of both time and abstraction level; at the top of the stack, the evolution of a derived efficiency measure is shown for the scope of the entire out-of-core system execution and at the bottom the details of a single scheduling decision are dis- played. The stack provides much more than a temporal zoom-effect as each widget presents a different view of the scheduling decision data, presenting distinct aspects of the out-of-core system state as well as correlating them with the neighboring widgets in the stack. This approach allows designers to to better understand and more effectively react to problems in scheduling or algorithm design.As a case study we consider a global illumination renderer and show how visualization of the scheduling behavior has led to key improvements of the renderer’s performance.",Lumiere,,to assist designers of scheduling-based multi-threaded algorithms,Elements,Concurrency,Programming,Runtime,designer,"Dense Pixel, Geometrically-Transformed",Not identified,11,,,,,,,-,-,-,-,SOFTVIS
S41,208,Visualizing Dynamic Memory Allocations,"Moreta, S.",2007,"We present a visualization tool for dynamic memory allocation information obtained from instrumenting the runtime allocator used by C programs. The goal of the presented visualization techniques is to convey insight in the dynamic behavior of the allocator The purpose is to help the allocator designers understand how the performance and working of the allocator depend on the actual allocation scenarios in order to optimize itsfunctionality by decreasing fragmentation and improving response time. We use an orthogonal dense pixel layout of time versus memory space which can show tens ofthousands of allocation events on  a single screen. We enhance the basic idea with several new techniques: anti aliased metric bars for detecting high and low activity areas; cushion cursors for checking correlations of multiple views; and a view to show correlation between program structure (functions) and memory allocations. The presented techniques are demonstrated on datafrom areal application.",MemoView,how does the allocator speed depend on type and parameters?,,Elements,Performance,Programming,Runtime,user,Dense Pixel,Not identified,8,,,,,,,-,-,-,-,VISSOFT
S42,223,A Visualization for Software Project Awareness and Evolution ,"Ripley, R.M.",2007,"Real-time awareness of other developers' activities is a powerful tool to assist in coordination of developer activities. Thus far; this type of awareness has focused only on individual developers,with information regarding individual artifacts provided in a contextualized visualization. Here, we build upon our prior work, but take a broader perspective: visualization and exploration of workspace activity and evolution on a project-wide basis. We believe this visualization helps project managers who now have a comprehensive view of a project activities, allowing them to intelligently steer development and adjust task assignments. Developers can also benefitfrom this high level view by understanding how their work relates with each other and to the project as a whole. Another interesting aspect of our work is that we can visualize the evolution ofworkspaces and the emergent project evolution either live or postmortem: since our tool stores the workspaces' events, we can replay, stop, rewind, and visually inspect the effort at any given point in time to find trends, problems, and other patterns of interest.",Paladir,when was the artifact changed?,,Changes,History,Software Process Management,CVS,Everyone involved in software development. From coders to managers.,Iconic,"The medium of the visualization ranges from a small window in the corner of a developer's or manager's desktop, to an entire monitor, to a wall-sized display. Again, by having the same visualization usable across a range of mediums maintains continuity as interaction modes change.",8,,,,,,,-,-,Palantir,Java,VISSOFT
S43,43,Experimental evaluation of animated-verifying object viewers for Java,"Jain, J.",2006,"Although many visualization techniques have been shown to be pedagogically effective, they are still not widely adopted. The reasons include: lack of suitable methods of automatic-generation of visualizations, lack of integration among visualizations, and lack of integration with basic integrated development environment (IDE) support. To effectively use visualizations when developing code, it is useful to automatically generate multiple synchronized views without leaving the IDE. The jGRASP IDE provides object viewers that automatically generate dynamic, state-based visualizations of objects and primitive variables in Java. Such seamless integration of a lightweight IDE with a set of pedagogically effective software visualizations is unique and is currently unavailable in any other environment. Multiple instructors have reported positive anecdotal evidence of their usefulness. We conducted formal, repeatable experiments to investigate the effect of these viewers for singly linked lists on student performance and we found a statistically significant improvement over traditional methods of visual debugging that use break-points.",jGrasp,,to understand concepts of dynamic programming implementation,ND,ND,Programming,Runtime,students,Standard,Not identified,10,http://www.jgrasp.org/,,Y,Y,Y,N,-,N,-,Java,SOFTVIS
S44,44,Execution patterns for visualizing web services,"de Pauw, W.",2006,"Web Services are well on their way to becoming the Lingua Franca for distributed computing. Although tools for building and monitoring web services applications are more powerful and easier to use than ever, they do not yet fully address the horizontal complexity of mature applications built as large nets of interconnected web services. We present a pattern-based visualization that enables business owners, application designers, programmers, and operations staff to quickly understand the behavior of complex web services applications. We describe a novel pattern extraction algorithm that captures important trends from web services execution traces. We demonstrate a new way to visualize these patterns that shows the behavior of web services applications at different levels of abstraction. Finally, we explain how this can help developers with performance analysis by showing both the averages and variations in the data contained in each pattern.",IBM WS Navigator,where most of the time is being spent?,,Elements,Performance,Maintenance,Runtime,"achitect, developer, business owner, tester, designer, programmer, operation staff","Standard, Geometrically-Transformed",Not identified,9,,,,,,,-,-,-,-,SOFTVIS
S45,45,Visualizing live software systems in 3D,"Greevy, O.",2006,"The analysis of the runtime behavior of a software system yields vast amounts of information, making accurate interpretations diffi- cult. Filtering or compression techniques are often applied to re- duce the volume of data without loss of key information vital for a specific analysis goal. Alternatively, visualization is generally accepted as a means of effectively representing large amounts of data. The challenge lies in creating effective and expressive visual representations that not only allows for a global picture, but also enables us to inspect the details of the large data sets. We define the focus of our analysis to be the runtime behavior of features. Static structural visualizations of a system are typically represented in two dimensions. We exploit a third dimension to visually rep- resent the dynamic information, namely object instantiations and message sends. We introduce a novel 3D visualization technique that supports animation of feature behavior and integrates zoom- ing, panning, rotating and on-demand details. As proof of concept, we apply our visualization technique to feature execution traces of an example system.",TraceCrawler,which parts of the code are active during the execution of a feature?,,"EL, ER","Location, Control flow",Reverse Engineering,Runtime,"developer, engineer",Geometrically-Transformed,Standard,10,,,,,,,-,-,CCJun,Smalltalk,SOFTVIS
S46,50,Visual exploration of function call graphs for feature location in complex software systems,"Bohnet, J.",2006,"Maintenance, reengineering, and refactoring processes of software systems are typically driven and organized in terms of features. Feature change requests need to be translated into changes in source code, which is a highly cost intensive and time consuming task when complex legacy software systems are concerned; their documentation is likely to be outdated and incomplete. In this paper, we propose a prototype tool that supports users in locating and understanding feature implementation in large (>1 MLOC) C/C++ systems. A combination of static and dynamic analysis allows extracting of the function call graph during feature execution and interpreting it within the static architecture of the system. An interactive multi-view visualization enables users to explore that graph. An effective 21⁄2D visualization provides various visual cues that facilitate finding those paths in the function call graph that are essential for understanding feature functionality. Additionally to source code aspects, the dynamic metric of function execution times is exploited, which gives significant hints to feature-implementing functions. Furthermore, information on functions is extended by architectural aspects, thereby supporting users in remaining oriented during their analysis and exploration task as they can give priority to selected architectural components and thereby hide insignificant function calls.",Call Graph Analyzer,which the important functions for feature understanding are?,,Changes,Debugging,Debugging,Runtime,developers,Standard,Not identified,10,,,,,,,-,-,GraphViz,C/C++,SOFTVIS
S47,52,Multiscale and multivariate visualizations of software evolution,"Voinea, L.",2006,"Software evolution visualization is a promising technique for assessing the software development process. We study how complex correlations of software evolution attributes can be made using multivariate visualization techniques. We use a combination of color and textures to depict up to four artifact attributes at the same time in one view using the same spatial layout. Next, we describe an interactive navigation method of the attribute space that can extend the correlation capabilities to four or more attributes. A second issue we address is how to use clustering to reduce the complexity of evolution visualizations. We propose two new methods, isometric and isorelevance, to generate relevant abstraction levels in a hierarchical clustering of software evolution artifacts. The isometric method generates partitions with similar size elements. The isorelevance method generates partitions with elements of similar relevance. We propose a novel widget, the cluster map, which visualizes all partitions in a clustering and supports users when making size/relevance compromises when choosing a partition. We illustrate the applicability of the proposed techniques with two usage scenarios on the evolution of two real-life industry size projects.",CVSgrab,"what versions, with these words in the log, were committed by that her?",,Changes,History,Reverse Engineering,CVS,developer,Dense Pixel,Not identified,10,,,,,,,-,-,-,-,SOFTVIS
S48,25,CVSscan: visualization of code evolution,"Voinea, L.",2005,"During the life cycle of a software system, the source code is changed many times. We study how developers can be enabled to get insight in these changes, in order to understand the status, history and structure better, as well as for instance the roles played by various contributors. We present CVSscan, an integrated multiview environment for this. Central is a line- oriented display of the changing code, where each version is represented by a column, and where the horizontal direction is used for time, Separate linked displays show various metrics, as well as the source code itself. A large variety of options is provided to visualize a number of different aspects. Informal user studies demonstrate the efficiency of this approach for real world use cases.",CVSscan,which parts of the code are unstable?,,Changes,History,Maintenance,CVS,"developer, maintainer, project manager, tester, new team members, architect",Dense Pixel,Standard,11,http://www.win.tue.nl/vis1/home/lvoinea/VCN.html,,Y,N,N,N,Free,N,-,-,SOFTVIS
S49,32,Jove: java as it happens,"Reiss, S.P.",2005,"Dynamic software visualization is designed to provide programmers with insights as to what the program is doing. Most current dynamic visualizations either use program traces to show information about prior runs, slow the program down substantially, show only minimal information, or force the programmer to indicate when to turn visualizations on or off. We have developed a dynamic Java visualizer that provides a statement-level view of a Java program in action with low enough overhead so that it can be used almost all the time by programmers to understand what their program is doing while it is doing it.",Jove,what the software is doing when performance issues arise?,,Changes,Debugging,Debugging,Runtime,programmer,"Geometrically-Transformed, Iconic, Stacked",Not identified,11,http://cs.brown.edu/~spr/,,Y,Y,Y,N,Free,Y,-,Java,SOFTVIS
S50,30,Methodology and architecture of JIVE,"Gestwicki, P.",2005,"A novel approach to the runtime visualization and analy- sis of object-oriented programs is presented and illustrated through a prototype system called JIVE: J ava I nteractive V isualization E nvironment. The main contributions of JIVE are: multiple concurrent representations of program state and execution history; support for forward and reverse exe- cution; and graphical queries over program execution. This model facilitates program understanding and interactive de- bugging. Our visualization of runtime states clarifies the important point that objects are environments of execution. The history of object interaction is displayed via sequence diagrams, and in this way we help close the loop between design-time and run-time representations. Interactive exe- cution is made possible by maintaining a runtime history database, which may be queried for information on vari- able behavior, method executions, and object interactions. We illustrate the capabilities of this system through exam- ples. JIVE is implemented using the Java Platform Debugger Architecture and supports the Java language and libraries, including multithreaded and GUI applications.",Jive,,runtime comprehension of object-oriented programs,Changes,Debugging,Debugging,Runtime,engineer,Standard,Not identified,10,http://cs.brown.edu/~spr/research/vizjive.html,,Y,Y,Y,N,Free,Y,-,Java,SOFTVIS
S51,184,Visual Exploration of Combined Architectural and Metric Information,"Termeer, M. ",2005,"We present MetricView,a software visualizationand exploration tool that combines traditional UML diagram visualization with metric visualization in an efective way. MetricViewisvery easy and natural to use for software architects and developers yet ofers apowerful set of mechanisms that allow fine customization of the visualizations forgetting specific insights. We discuss several visual and architectural design choices which turned out to be important in the constructionof MetricView,and illustrate our approach with several results using real-life datasets.",MetricView,what happens If I change this component?,,Changes,Implications,Programming,Documentation,architects and developers,Iconic,Standard,6,http://www.win.tue.nl/san/projects/empanada/metricview/,N,Y,,,,Free,N,"C++, OpenGL, FreeType, wxWindows",-,VISSOFT
S52,24,Visual data mining in software archives,"Burch, M.",2005,Software archives contain historical information about the development process of a software system. Using data mining techniques rules can be extracted from these archives. In this paper we discuss how standard visualization techniques can be applied to interactively explore these rules. To this end we extended the standard visualization techniques for association rules and sequence rules to also show the hierarchical order of items. Clusters and outliers in the resulting visualizations provide interesting insights into the relation between the temporal development of a system and its static structure. As an example we look at the large software archive of the MOZILLA open source project. Finally we discuss what kind of regularities and anomalies we found and how these can then be leveraged to support software engineers.,EPOSee,what items have been changed at the same time?,,Changes,History,Reverse Engineering,CVS,engineer,"Dense Pixel, Geometrically-Transformed",Not identified,10,http://www.st.uni-trier.de/eposoft/eposee/,,Y,Y,Y,N,GPL,Y,-,-,SOFTVIS
S53,26,The war room command console: shared visualizations for inclusive team coordination,"O'Reilly, C.",2005,"Making the structure of software visible during system develop- ment helps (i) build a shared understanding of the context for each piece of work, (ii) identify progress with implementation, and (iii) highlight any conflict between individual development activities. Finding an adequate representation for such information is not straightforward, especially for large applications. This paper de- scribes an implementation of such a visualization system designed to explore some of the issues involved. The approach is based on a ‘War Room Command Console’ metaphor and uses a bank of eight linked consoles to present information. The tool was applied to several industrial software systems written in a mixture of Java, C++ and C, one of which was over a million lines of code in size.",War Room Console,which artifacts are of importance?,,Elements,Intent and implementation,Software Process Management,Source Code,"project manager, technical lead, developer",Dense Pixel,Wall display,10,,,,,,,-,-,"Java, C++","Java, C/C++",SOFTVIS
S54,33,Visualizing structural properties of irregular parallel computations,"Blochinger, W.",2005,"An important task in parallel programming is the appropriate dis- tribution of work on the processors. This distribution is usually dynamically changing and hard to predict, further it is very sensitive to the change of parameters. Even with advanced analysis tools this problem is hard to be solved. We propose to visualize the program structure as it changes over the execution time. We therefore present a new automatic layout algorithm based on Sugiyama’s framework, which enables the user to detect structural patterns which might be fatal for the performance of the program - patterns which might be impossible to detect in a more analytical way. Furthermore it assists the user to find appropriate timing parameters for load balancing. We integrate our visualization into an integrated development envi- ronment that supports the implementation, execution, and analysis of parallel programs.",DOT,,to identify optimal parameters to distribute the work on the processors,Elements,Performance,Programming,Runtime,user,Geometrically-Transformed,Not identified,11,,,,,,,-,-,"Java, yFiles library",C/C++,SOFTVIS
S55,35,Visualization of mobile object environments,"Frishman, Y.",2005,"This paper presents a system for visualizing mobile object frame- works. In such frameworks, the objects can migrate to remote hosts, along with their state and behavior, while the application is running. An innovative graph-based visualization is used to depict the phys- ical and the logical connections in the distributed object network. Scalability is achieved by using a focus+context technique jointly with a user-steered clustering algorithm. In addition, an event synchronization model for mobile objects is presented. The system has been applied to visualizing several mobile object applications.",Mobile Object Vis.,,to understand connections in the distributed object network,TE,TE,Debugging,Runtime,developer,Standard,Not identified,11,,,,,,,-,-,Java3D,-,SOFTVIS
S56,39,Towards understanding programs through wear-based filtering,"DeLine, R.",2005,"Large software projects often require a programmer to make changes to unfamiliar source code. This paper presents the results of a formative observational study of seven professional programmers who use a conventional development environment to update an unfamiliar implementation of a commonly known video game. We describe several usability problems they experience, including keeping oriented in the program’s source text, maintaining the number and layout of open text documents and relying heavily on textual search for navigation. To reduce the cost of transferring knowledge about the program among developers, we propose the idea of wear-based filtering, a combination of computational wear and social filtering. The development environment collects interaction information, as with computational wear, and uses that information to direct the attention of subsequent users, as with social filtering. We present sketches of new visualizations that use wear-based filtering and demonstrate the feasibility of our approach with data drawn from our study.",FAN,what does this called method do?,,"EL, ER","Intent and implementation, Dependencies",Programming,Source Code,developer,Standard,Not identified,10,,,,,,,-,-,-,-,SOFTVIS
S57,1,Program animation based on the roles of variables,"Sajaniemi, J.",2003,"Computer programming is a difficult skill for many students and visualizations may be used to foster learning. This paper presents a program animation system, PlanAni, that is based on the concept of the roles of variables. Roles represent schematic uses of variables that occur in programs over and over again, and a set of nine roles covers practically all variables in novice-level programs. PlanAni has been tested in a teaching experiment comparing tradi- tional teaching with role-based teaching and animation. The results of a semi-structured interview with the teacher indicate that stu- dents like to work with the animator and that the system clarifies many concepts in programming.",PlanAni,what part of the array is currently being sorted?,,ND,ND,Programming,Source Code,student,Standard,Not identified,11,http://www.cs.uef.fi/~saja/var_roles/planani/index.html,,Y,Y,Y,N,Free,Y,Java3D,Pascal,SOFTVIS
S58,6,Visualizing Java in action,"Reiss, S.P.",2003,"Dynamic software visualization is supposed to provide program- mers with insights as to what the program is doing. Most current dynamic visualizations either use program traces to show information about prior runs, slow the program down substantially, show only minimal information, or force the programmer to indi- cate when to turn visualizations on or off. We have developed a dynamic Java visualizer that provides a view of a program in action with low enough overhead so that it can be used almost all the time by programmers to understand what their program is doing while it is doing it.",Jive,how much time each thread spent in each class?,,Changes,Debugging,Debugging,Source Code,user,Stacked,Not identified,10,http://cs.brown.edu/~spr/research/vizjive.html,,Y,Y,Y,N,Free,Y,-,Java,SOFTVIS
S59,4,EVolve: an open extensible software visualization framework,"Wang, Q.",2003,"Existing visualization tools typically do not allow easy extension by new visualization techniques, and are often coupled with inflex- ible data input mechanisms. This paper presents EVolve, a flexible and extensible framework for visualizing program characteristics and behaviour. The framework is flexible in the sense that it can visualize many kinds of data, and it is extensible in the sense that it is quite straightforward to add new kinds of visualizations.The overall architecture of the framework consists of the core EVolve platform that communicates with data sources via a well defined data protocol and which communicates with visualization methods via a visualization protocol.Given a data source, an end-user can use EVolve as a stand-alone tool by interactively creating, configuring and modifying visual- izations. A variety of visualizations are provided in the current EVolve library, with features that facilitate the comparison of mul- tiple views on the same execution data. We demonstrate EVolve in the context of visualizing execution behaviour of Java programs.",EVolve,,help us to develop compiler optimization ,Changes,Implications,Programming,Runtime,user,Standard,Not identified,11,http://www.sable.mcgill.ca/evolve/,,Y,Y,Y,N,Free,Y,-,Java,SOFTVIS
S60,7,Visualization of program-execution data for deployed software,"Orso, A.",2003,"Software products are often released with missing function- ality, errors, or incompatibilities that may result in failures in the field, inferior performances, or, more generally, user dissatisfaction. In previous work, we presented the Gamma technology, which facilitates remote analysis and measurement of deployed software and allows for gathering program- execution data from the field. When monitoring a high number of deployed instances of a software product, however, a large amount of data is collected. Such raw data are useless in the absence of a suitable data-mining and visualization technique that supports exploration and understanding of the data. In this paper, we present a new technique for collecting, storing, and visualizing program-execution data gathered from deployed instances of a software product. We also present a prototype toolset, Gammatella, that implements the technique. We show how the visualization capa- bilities of Gammatella allows for effectively investigating several kinds of execution-related information in an interac- tive fashion.",Gamma/Gammatella,,investigate the behavior of deployed software,Changes,Debugging,Debugging,Runtime,"developer, maintainer","Dense Pixel, Stacked",Not identified,11,,,,,,,-,-,"Java, Swing, TreeMap Java Library",Java,SOFTVIS
S61,8,A system for graph-based visualization of the evolution of software,"Collberg, C.",2003,"We describe Gevol, a system that visualizes the evolution of software using a novel graph drawing technique for visual- ization of large graphs with a temporal component. Gevol extracts information about a Java program stored within a CVS version control system and displays it using a temporal graph visualizer. This information can be used by program- mers to understand the evolution of a legacy program: Why is the program structured the way it is? Which programmers were responsible for which parts of the program during which time periods? Which parts of the program appear unstable over long periods of time and may need to be rewritten? This type of information will complement that produced by more static tools such as source code browsers, slicers, and static analyzers.",GEVOL,who was responsible for which parts of the program during which periods?,,Changes,Rationale,Programming,CVS,user,Geometrically-Transformed,Not identified,11,,,,,,,-,-,-,-,SOFTVIS
S62,14,Interactive locality optimization on NUMA architectures,"Mu, T.",2003,"Optimizing the performance of shared-memory NUMA programs remains something of a black art, requiring that application writers possess deep understanding of their programs’ behaviors. This difficulty represents one of the remaining hindrances to the widespread adoption and deployment of these cost-efficient and scalable shared-memory NUMA architectures. To address this problem, we have developed a performance monitoring infrastruc- ture and a corresponding set of tools to aid in visualizing and understanding the subtleties of the memory access behavior of parallel NUMA applications with large datasets. The tools are designed to be general, interoperable, and easily portable. We give detailed examples of the use of one particular tool in the set. We have used this memory access visualization tool profitably on a range of ap- plications, improving performance by around 90%, on average.",-,,helps users to allocate data onto their dominating nodes,TE,TE,Programming,CVS,user,Dense Pixel,Not identified,10,,,,,,,-,-,-,-,SOFTVIS
S63,15,Graph visualization for the analysis of the structure and dynamics of extreme-scale supercomputers,"Zhou, C.",2003,"We are exploring the development and application of information visualization techniques for the analysis of new massively parallel supercomputer architectures. Modern supercomputers typically comprise very large clusters of commodity SMPs interconnected by possibly dense and often nonstandard networks. The scale, complexity, and inherent nonlocality of the structure and dynamics of this hardware, and the systems and applications distributed over it, challenge traditional analysis methods. As part of the `a la carte team at Los Alamos National Laboratory, who are simulating these advanced architectures, we are exploring advanced visualization techniques and creating tools to provide intuitive exploration, discovery, and analysis of these simulations. This work complements existing and emerging algorithmic analysis tools. This paper gives background on the problem domain, a description of a prototypical computer architecture of interest (on the order of 10,000 processors connected by a quaternary fat-tree communications network), and a presentation of two classes of visualizations that clearly display the switch structure and the flow of information in the interconnecting network.",Flatland,,analysis of massively parallel supercomputer architectures,TE,TE,Programming,Documentation,user,"Stacked, Iconic",Standard,7,,,,,,,-,-,OpenGL,-,SOFTVIS
S64,177,KScope: A Modularized Tool for 3D Visualization of Object-Oriented Programs,"Davis, T.A.",2003,"Visualization of software systems is a widely used tech- nique in software engineering. This paper proposes a 3D user-navigable software visualization system, termed KScope, that is comprised of a modular, component- based architecture. The flexibility of this construction allows for a variety of component configurations to vali- date experimental software visualization techniques. The first iteration of KScope is described and evaluated.",Kscope,,to provide an analysis of java programs,ND,ND,Reverse Engineering,Source Code,researcher,Stacked,Standard,6,,,,,,,-,-,Java3D,Java,VISSOFT
S65,178,Self-Organizing Maps Applied in Visualising Large Software Collections,"Brittle, J.",2003,"The self-organizing map's unsupervised clustering method can be used as a data visualisation technique. Within this paper different techniques to visualise self- organizing maps (SOM) and their effectiveness are inves- tigated in relation to the organisation of a large software collection and its visualisation. GENISOM, an offspring component of the GENESIS software engineering platform, incorporates the genera- tion, maintenance and viewing of Self-Organizing Maps. The results from our studies indicate that a hybrid of 2D and 3D visualisations is favoured by users. Extensive us- ability tests also show that the majority of users found that the additional information a SOM provides, aids browsing and searching of a software collection. Further work is addressing the problems found in the application of SOM within a software engineering environment.",GENISOM,,to aid programmers in the process of reverse engineering,Element relationship,Architecture,Reverse Engineering,Source Code,user,Iconic,Not identified,6,,,,,,,-,-,Java3D,-,VISSOFT
